label,id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11,OVD_t1_sum,OVD_t1_mean,OVD_t1_max,OVD_t2_sum,OVD_t2_mean,OVD_t2_max,OVD_t3_sum,OVD_t3_mean,OVD_t3_max,OVD_sum_sum,OVD_sum_mean,OVD_sum_max,OVD_sum_std,pay_normal_sum,pay_normal_mean,new_balance_mean,new_balance_max,new_balance_min,new_balance_std,highest_balance_mean,highest_balance_max,prod_limit_mean,prod_limit_max,prod_code_count,overdue_rate,credit_utilization,balance_ratio,overdue_volatility,payment_score
0,58991802,7,1326.5,1,141000.0,2,11,-1,68,5,60007,1.0,2,0.18181818181818182,2,2,0.18181818181818182,1,0,0.0,0,75,6.818181818181818,42,15.302406227898812,129,11.727272727272727,25599.38181818182,135660.0,0.0,43984.33269621851,98935.77777777778,200500.0,72380.0,96800.0,11,0.36585365853658536,0.41706539394790143,0.2587448509358236,15.302406227898812,-10.63636363636364
0,54989871,4,1380.5,3,270000.0,2,8,5,68,5,60023,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,6,3.2666666666666666,4581.6,4581.6,4581.6,44802.31891939847,196629.0,196629.0,227700.0,227700.0,1,0.0,0.020121123754397216,0.023300615368967097,0.0,4.0
0,54986764,7,1304.0,1,111000.0,2,11,9,113,4,151300,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,25,12.5,1757.4,3598.8,-84.0,2604.1328537538175,10142.0,16043.0,93500.0,93500.0,2,0.0,0.018795520903519748,0.22920117378545812,0.0,25.0
0,54986705,7,1233.5,3,56000.0,2,11,5,80,5,60052,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,30,10.0,110252.79999999999,324123.6,0.0,185247.2522393787,106340.66666666667,270603.0,43450.0,55000.0,3,0.0,2.5374053531564287,1.0367789358200767,0.0,20.0
0,58991922,7,1365.5,1,150000.0,2,12,-1,110,5,350012,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,185,20.555555555555557,81430.79999999999,719449.2,0.0,239268.46913114144,507583.5714285714,1519500.0,129800.0,248600.0,9,0.0,0.6273510989899923,0.16042804408104264,0.0,41.111111111111114
1,58985795,5,1389.5,3,38000.0,2,15,5,109,5,450015,158.5370619,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,206,15.846153846153847,181483.84615384616,1631500.8,0.0,461764.0815348761,305719.5,1439560.0,88000.0,165000.0,13,0.0,2.0622929984187244,0.5936266823907659,0.0,31.692307692307693
0,58989550,7,1283.0,3,67000.0,2,11,5,114,4,60026,200.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,91,7.583333333333333,5140.8,33223.2,0.0,12049.077865584117,29995.0,50500.0,40150.0,57200.0,12,0.0,0.12803666160245075,0.17138285104680626,0.0,15.166666666666666
1,59005543,4,1302.5,1,239000.0,1,8,5,100,3,60043,380.7886553,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,96,19.2,164936.63999999998,366463.2,0.0,155265.3946208491,230631.8,390500.0,228250.0,458700.0,5,0.0,0.3130315562126471,0.7151482356369085,0.0,38.4
1,58989781,7,1241.0,1,70000.0,2,11,-1,106,4,450032,200.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,120,9.23076923076923,13154.584615384616,60000.0,0.0,19765.734100282665,29491.46153846154,64000.0,35566.666666666664,62700.0,13,0.0,0.3698467132709844,0.4460321020756282,0.0,18.46153846153846
0,54991368,4,1271.0,3,99000.0,2,8,5,114,4,151300,232.8647676,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,54,18.0,80307.2,187299.6,26728.8,92658.17287298515,89402.66666666667,200500.0,40700.0,40700.0,3,0.0,1.9731013980000491,0.898253986600102,0.0,36.0
1,54987636,7,1214.0,3,59000.0,2,11,5,84,3,72001,223.6067977,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,21,7.0,27621.199999999997,70957.2,0.0,37999.30607576933,40913.333333333336,61396.0,67100.0,67100.0,3,0.0,0.411636190220712,0.6750983762821504,0.0,14.0
0,58985909,5,1256.0,3,128000.0,2,15,5,114,4,510065,167.33200530000002,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,47,9.4,40387.2,114518.4,0.0,47250.01858285348,70279.0,113011.0,66550.0,116600.0,5,0.0,0.6068609036678637,0.5746613545816732,0.0,18.8
0,58983160,5,1364.0,3,134000.0,2,15,5,83,5,72000,316.22776600000003,14,2.6666666666666665,8,8,1.6,6,9,1.8,9,2636,527.2,2269,978.0121164893612,113,22.6,7487.76,37566.0,-66.0,16814.27747742971,78590.8,250500.0,143000.0,143000.0,5,0.9585454545454546,0.052361591876979884,0.09527406167055597,978.0121164893612,-2680.8
0,54990275,4,1281.5,2,94000.0,2,8,9,81,5,71000,176.5389475,1,0.06666666666666667,1,2,0.13333333333333333,2,1,0.06666666666666667,1,344,22.933333333333334,180,60.59640096180473,295,19.666666666666668,27480.960000000003,172179.6,0.0,57559.553303101384,62507.21428571428,170500.0,22128.333333333332,33000.0,15,0.5375,1.241834066397542,0.43963757906103773,60.59640096180473,-85.33333333333334
1,59003268,4,1281.5,3,95000.0,1,8,5,93,5,60047,173.20508080000002,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,20,5.0,14740.2,32218.8,0.0,13256.241078073375,32688.75,59369.0,64900.0,64900.0,4,0.0,0.2271182262214758,0.45091198311397307,0.0,10.0
0,58997888,4,1352.0,3,175000.0,2,8,9,105,5,60004,219.089023,7,0.6363636363636364,5,6,0.5454545454545454,4,6,0.5454545454545454,3,1281,116.45454545454545,757,264.2814271326548,211,19.181818181818183,1059.709090909091,11073.6,-3097.2,3652.5305204623673,34333.4,79671.0,66880.0,147400.0,11,0.8580040187541862,0.015844695667066745,0.03086435443488428,264.2814271326548,-603.9090909090909
0,59001107,4,1272.5,3,180000.0,2,8,5,110,4,60091,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,35,17.5,33028.2,44738.4,21318.0,16560.723658101415,71238.5,77046.0,80300.0,80300.0,2,0.0,0.4113049650689281,0.46362200745373,0.0,35.0
0,58996112,7,1248.5,3,76000.0,2,11,5,95,3,72000,200.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,156,14.181818181818182,52293.16363636364,184940.4,0.0,62197.67654681761,76965.54545454546,220879.0,52800.0,89100.0,11,0.0,0.9903820692101218,0.6794271891447524,0.0,28.363636363636363
0,58992849,7,1380.5,3,271000.0,2,11,9,81,5,60027,300.1299718,14,1.0,4,13,1.0,9,17,1.2142857142857142,11,6698,478.42857142857144,4629,1251.6065807461355,100,7.142857142857143,9025.885714285714,59204.4,-2398.8,20443.75823671662,45281.57142857143,110270.0,32633.333333333332,47300.0,14,0.9851448742462127,0.2765763780768428,0.19932361236426502,1251.6065807461355,-2547.857142857143
1,59003507,4,1278.5,3,101000.0,2,8,5,112,4,72000,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,21,10.5,2281.7999999999997,4459.2,104.4,3079.308610711177,52471.5,81060.0,105600.0,105600.0,2,0.0,0.02160774992661054,0.043485635332793364,0.0,21.0
0,58989284,7,1248.5,3,146000.0,2,11,9,105,5,350704,339.9441131,20,1.25,8,9,0.5625,3,29,1.8125,16,11526,720.375,6400,1667.2314726315997,137,8.5625,16793.25,159728.4,0.0,41863.95079502172,45174.1875,133607.0,118800.0,214500.0,16,0.9881687242798354,0.14135613336588077,0.37173614387322684,1667.2314726315997,-3874.75
0,58995726,7,1290.5,1,161000.0,2,11,5,109,3,151300,1.0,7,0.7777777777777778,7,5,0.5555555555555556,4,2,0.2222222222222222,2,641,71.22222222222223,545,180.48114706097266,131,14.555555555555555,67406.40000000001,552410.4,0.0,182293.3944821918,360778.5,1850500.0,65220.833333333336,92812.5,9,0.8292367399741267,1.033494407547575,0.18683544935341395,180.48114706097266,-347.00000000000006
1,58999971,4,1320.5,1,128000.0,2,8,-1,112,5,341774,206.4291646,1,0.2,1,0,0.0,0,0,0.0,0,28,5.6,28,12.521980673998822,108,21.6,256929.36000000002,1008876.0,0.0,430387.2735549321,274997.4,1007781.0,49500.0,49500.0,5,0.20437956204379562,5.190387264903739,0.9342940177106485,12.521980673998822,15.200000000000003
